rep,# of plants,weight,holes,adj weight minus bag,treat,avg per plant
8,2,161.68,yes,115.9584,CHEMICAL,57.9792
8,2,193.13,yes,147.4084,CHEMICAL,73.7042
8,2,221.11,yes,175.3884,CHEMICAL,87.6942
8,2,174.72,yes,128.9984,CHEMICAL,64.4992
10,2,210.59,yes,164.8684,CHEMICAL,82.4342
17,2,178.12,yes,132.3984,CHEMICAL,66.1992
4,3,275.75,no,230.019,CHEMICAL,76.673
8,3,186.47,yes,140.7484,CHEMICAL,46.91613333
8,3,217.42,yes,171.6984,CHEMICAL,57.2328
8,3,228.15,yes,182.4284,CHEMICAL,60.80946667
8,3,251.45,yes,205.7284,CHEMICAL,68.57613333
8,3,229.16,yes,183.4384,CHEMICAL,61.14613333
10,3,209.66,yes,163.9384,CHEMICAL,54.64613333
10,3,167.2,yes,121.4784,CHEMICAL,40.4928
10,3,171.43,yes,125.7084,CHEMICAL,41.9028
10,3,182.22,no,136.489,CHEMICAL,45.49633333
14,3,150.11,yes,104.3884,CHEMICAL,34.79613333
14,3,134.8,yes,89.0784,CHEMICAL,29.6928
17,3,178.63,yes,132.9084,CHEMICAL,44.3028
17,3,173.28,yes,127.5584,CHEMICAL,42.51946667
1,4,215.56,no,169.829,CHEMICAL,42.45725
8,4,226.82,yes,181.0984,CHEMICAL,45.2746
10,4,166.06,yes,120.3384,CHEMICAL,30.0846
14,4,160.04,yes,114.3184,CHEMICAL,28.5796
14,4,141.22,yes,95.4984,CHEMICAL,23.8746
17,4,163.32,yes,117.5984,CHEMICAL,29.3996
17,4,173.23,yes,127.5084,CHEMICAL,31.8771
17,4,213.33,yes,167.6084,CHEMICAL,41.9021
21,4,175.42,yes,129.6984,CHEMICAL,32.4246
1,5,217.69,no,171.959,CHEMICAL,34.3918
1,5,258.11,no,212.379,CHEMICAL,42.4758
1,5,282.84,no,237.109,CHEMICAL,47.4218
1,5,244.04,no,198.309,CHEMICAL,39.6618
1,5,196.49,no,150.759,CHEMICAL,30.1518
4,5,330.14,no,284.409,CHEMICAL,56.8818
4,5,403.81,no,358.079,CHEMICAL,71.6158
4,5,302.4,no,256.669,CHEMICAL,51.3338
8,5,298.05,yes,252.3284,CHEMICAL,50.46568
8,5,253.67,yes,207.9484,CHEMICAL,41.58968
8,5,289.79,yes,244.0684,CHEMICAL,48.81368
10,5,292.05,yes,246.3284,CHEMICAL,49.26568
