Replicate	Treatment	Distance(m)	Direction	Eggs	Aphids	Date	Day after deploy	Week
1	Chemical	FOCAL	Center	0	3	7/7/16	3	1
1	Chemical	0.5	N	0	5	7/7/16	3	1
1	Chemical	1	N	0	3	7/7/16	3	1
1	Chemical	2	N	3	8	7/7/16	3	1
1	Chemical	4	N	0	5	7/7/16	3	1
1	Chemical	0.5	E	0	0	7/7/16	3	1
1	Chemical	1	E	2	3	7/7/16	3	1
1	Chemical	2	E	6	3	7/7/16	3	1
1	Chemical	4	E	2	5	7/7/16	3	1
1	Chemical	0.5	S	0	10	7/7/16	3	1
1	Chemical	1	S	3	0	7/7/16	3	1
1	Chemical	2	S	0	8	7/7/16	3	1
1	Chemical	4	S	0	2	7/7/16	3	1
1	Chemical	0.5	W	1	2	7/7/16	3	1
1	Chemical	1	W	0	0	7/7/16	3	1
1	Chemical	2	W	1	0	7/7/16	3	1
1	Chemical	4	W	2	2	7/7/16	3	1
2	Control	FOCAL	Center	0	11	7/7/16	3	1
2	Control	0.5	N	1	37	7/7/16	3	1
2	Control	1	N	0	21	7/7/16	3	1
2	Control	2	N	0	38	7/7/16	3	1
2	Control	4	N	0	1	7/7/16	3	1
2	Control	0.5	E	1	20	7/7/16	3	1
2	Control	1	E	0	19	7/7/16	3	1
2	Control	2	E	0	25	7/7/16	3	1
2	Control	4	E	0	24	7/7/16	3	1
2	Control	0.5	S	0	17	7/7/16	3	1
2	Control	1	S	0	17	7/7/16	3	1
2	Control	2	S	0	3	7/7/16	3	1
2	Control	4	S	0	17	7/7/16	3	1
2	Control	0.5	W	0	10	7/7/16	3	1
2	Control	1	W	2	2	7/7/16	3	1
2	Control	2	W	1	6	7/7/16	3	1
2	Control	4	W	0	21	7/7/16	3	1
3	Predator	FOCAL	Center	0	3	7/7/16	3	1
3	Predator	0.5	N	0	0	7/7/16	3	1
3	Predator	1	N	0	3	7/7/16	3	1
3	Predator	2	N	0	5	7/7/16	3	1
3	Predator	4	N	0	2	7/7/16	3	1
3	Predator	0.5	E	0	2	7/7/16	3	1
3	Predator	1	E	0	5	7/7/16	3	1
3	Predator	2	E	0	3	7/7/16	3	1
3	Predator	4	E	0	10	7/7/16	3	1
3	Predator	0.5	S	0	2	7/7/16	3	1
3	Predator	1	S	0	6	7/7/16	3	1
