Replicate,Treatment,Distance(m),Direction,Eggs,Aphids,Date,temphigh,templow,precip,windspdmax
1,Chemical,FOCAL,Center,0,3,07/07/16,32.1,16.6,,6.3
1,Chemical,0.5,N,0,5,07/07/16,32.1,16.6,,6.3
1,Chemical,1,N,0,3,07/07/16,32.1,16.6,,6.3
1,Chemical,2,N,3,8,07/07/16,32.1,16.6,,6.3
1,Chemical,4,N,0,5,07/07/16,32.1,16.6,,6.3
1,Chemical,0.5,E,0,0,07/07/16,32.1,16.6,,6.3
1,Chemical,1,E,2,3,07/07/16,32.1,16.6,,6.3
1,Chemical,2,E,6,3,07/07/16,32.1,16.6,,6.3
1,Chemical,4,E,2,5,07/07/16,32.1,16.6,,6.3
1,Chemical,0.5,S,0,10,07/07/16,32.1,16.6,,6.3
1,Chemical,1,S,3,0,07/07/16,32.1,16.6,,6.3
1,Chemical,2,S,0,8,07/07/16,32.1,16.6,,6.3
1,Chemical,4,S,0,2,07/07/16,32.1,16.6,,6.3
1,Chemical,0.5,W,1,2,07/07/16,32.1,16.6,,6.3
1,Chemical,1,W,0,0,07/07/16,32.1,16.6,,6.3
1,Chemical,2,W,1,0,07/07/16,32.1,16.6,,6.3
1,Chemical,4,W,2,2,07/07/16,32.1,16.6,,6.3
2,Control,FOCAL,Center,0,11,07/07/16,32.1,16.6,,6.3
2,Control,0.5,N,1,37,07/07/16,32.1,16.6,,6.3
2,Control,1,N,0,21,07/07/16,32.1,16.6,,6.3
2,Control,2,N,0,38,07/07/16,32.1,16.6,,6.3
2,Control,4,N,0,1,07/07/16,32.1,16.6,,6.3
2,Control,0.5,E,1,20,07/07/16,32.1,16.6,,6.3
2,Control,1,E,0,19,07/07/16,32.1,16.6,,6.3
2,Control,2,E,0,25,07/07/16,32.1,16.6,,6.3
2,Control,4,E,0,24,07/07/16,32.1,16.6,,6.3
2,Control,0.5,S,0,17,07/07/16,32.1,16.6,,6.3
2,Control,1,S,0,17,07/07/16,32.1,16.6,,6.3
2,Control,2,S,0,3,07/07/16,32.1,16.6,,6.3
2,Control,4,S,0,17,07/07/16,32.1,16.6,,6.3
2,Control,0.5,W,0,10,07/07/16,32.1,16.6,,6.3
2,Control,1,W,2,2,07/07/16,32.1,16.6,,6.3
2,Control,2,W,1,6,07/07/16,32.1,16.6,,6.3
2,Control,4,W,0,21,07/07/16,32.1,16.6,,6.3
3,Predator,FOCAL,Center,0,3,07/07/16,32.1,16.6,,6.3
3,Predator,0.5,N,0,0,07/07/16,32.1,16.6,,6.3
3,Predator,1,N,0,3,07/07/16,32.1,16.6,,6.3
3,Predator,2,N,0,5,07/07/16,32.1,16.6,,6.3
3,Predator,4,N,0,2,07/07/16,32.1,16.6,,6.3
3,Predator,0.5,E,0,2,07/07/16,32.1,16.6,,6.3
3,Predator,1,E,0,5,07/07/16,32.1,16.6,,6.3
3,Predator,2,E,0,3,07/07/16,32.1,16.6,,6.3
3,Predator,4,E,0,10,07/07/16,32.1,16.6,,6.3
3,Predator,0.5,S,0,2,07/07/16,32.1,16.6,,6.3
3,Predator,1,S,0,6,07/07/16,32.1,16.6,,6.3
3,Predator,2,S,1,5,07/07/16,32.1,16.6,,6.3
3,Predator,4,S,0,0,07/07/16,32.1,16.6,,6.3
3,Predator,0.5,W,2,0,07/07/16,32.1,16.6,,6.3
3,Predator,1,W,1,0,07/07/16,32.1,16.6,,6.3
3,Predator,2,W,1,0,07/07/16,32.1,16.6,,6.3
3,Predator,4,W,1,4,07/07/16,32.1,16.6,,6.3
4,Chemical,FOCAL,Center,0,15,07/07/16,32.1,16.6,,6.3
4,Chemical,0.5,N,0,5,07/07/16,32.1,16.6,,6.3
4,Chemical,1,N,0,2,07/07/16,32.1,16.6,,6.3
4,Chemical,2,N,0,10,07/07/16,32.1,16.6,,6.3
4,Chemical,4,N,0,5,07/07/16,32.1,16.6,,6.3
4,Chemical,0.5,E,1,8,07/07/16,32.1,16.6,,6.3
4,Chemical,1,E,0,6,07/07/16,32.1,16.6,,6.3
4,Chemical,2,E,2,7,07/07/16,32.1,16.6,,6.3
4,Chemical,4,E,1,3,07/07/16,32.1,16.6,,6.3
4,Chemical,0.5,S,0,0,07/07/16,32.1,16.6,,6.3
4,Chemical,1,S,0,2,07/07/16,32.1,16.6,,6.3
4,Chemical,2,S,0,8,07/07/16,32.1,16.6,,6.3
4,Chemical,4,S,0,10,07/07/16,32.1,16.6,,6.3
4,Chemical,0.5,W,0,15,07/07/16,32.1,16.6,,6.3
4,Chemical,1,W,0,3,07/07/16,32.1,16.6,,6.3
4,Chemical,2,W,2,8,07/07/16,32.1,16.6,,6.3
4,Chemical,4,W,4,10,07/07/16,32.1,16.6,,6.3
5,Predator,FOCAL,Center,1,4,07/07/16,32.1,16.6,,6.3
5,Predator,0.5,N,0,26,07/07/16,32.1,16.6,,6.3
5,Predator,1,N,0,0,07/07/16,32.1,16.6,,6.3
5,Predator,2,N,2,17,07/07/16,32.1,16.6,,6.3
5,Predator,4,N,0,13,07/07/16,32.1,16.6,,6.3
5,Predator,0.5,E,0,4,07/07/16,32.1,16.6,,6.3
5,Predator,1,E,0,6,07/07/16,32.1,16.6,,6.3
5,Predator,2,E,0,7,07/07/16,32.1,16.6,,6.3
5,Predator,4,E,0,2,07/07/16,32.1,16.6,,6.3
5,Predator,0.5,S,0,2,07/07/16,32.1,16.6,,6.3
5,Predator,1,S,0,7,07/07/16,32.1,16.6,,6.3
5,Predator,2,S,1,0,07/07/16,32.1,16.6,,6.3
