distance,direction,eggs,aphids,week,replicate,treatment,date
0.5,N,0,5,wk1,1,Chemical,07/07/2016
0.5,E,0,0,wk1,1,Chemical,07/07/2016
0.5,S,0,10,wk1,1,Chemical,07/07/2016
0.5,W,1,2,wk1,1,Chemical,07/07/2016
0.5,N,1,37,wk1,2,Control,07/07/2016
0.5,E,1,20,wk1,2,Control,07/07/2016
0.5,S,0,17,wk1,2,Control,07/07/2016
0.5,W,0,10,wk1,2,Control,07/07/2016
0.5,N,0,0,wk1,3,Predator,07/07/2016
0.5,E,0,2,wk1,3,Predator,07/07/2016
0.5,S,0,2,wk1,3,Predator,07/07/2016
0.5,W,2,0,wk1,3,Predator,07/07/2016
0.5,N,0,5,wk1,4,Chemical,07/07/2016
0.5,E,1,8,wk1,4,Chemical,07/07/2016
0.5,S,0,0,wk1,4,Chemical,07/07/2016
0.5,W,0,15,wk1,4,Chemical,07/07/2016
0.5,N,0,26,wk1,5,Predator,07/07/2016
0.5,E,0,4,wk1,5,Predator,07/07/2016
0.5,S,0,2,wk1,5,Predator,07/07/2016
0.5,W,0,4,wk1,5,Predator,07/07/2016
0.5,N,0,5,wk1,6,Control,07/07/2016
0.5,E,0,0,wk1,6,Control,07/07/2016
0.5,S,0,2,wk1,6,Control,07/07/2016
0.5,W,0,1,wk1,6,Control,07/07/2016
0.5,N,0,6,wk1,7,Control,07/07/2016
0.5,E,0,4,wk1,7,Control,07/07/2016
0.5,S,5,0,wk1,7,Control,07/07/2016
0.5,W,0,4,wk1,7,Control,07/07/2016
0.5,N,0,2,wk1,8,Chemical,07/07/2016
0.5,E,0,34,wk1,8,Chemical,07/07/2016
0.5,S,0,7,wk1,8,Chemical,07/07/2016
0.5,W,0,7,wk1,8,Chemical,07/07/2016
0.5,N,0,0,wk1,9,Predator,07/07/2016
0.5,E,0,0,wk1,9,Predator,07/07/2016
0.5,S,0,4,wk1,9,Predator,07/07/2016
0.5,W,0,0,wk1,9,Predator,07/07/2016
0.5,N,0,0,wk1,10,Chemical,07/07/2016
0.5,E,1,5,wk1,10,Chemical,07/07/2016
0.5,S,3,5,wk1,10,Chemical,07/07/2016
0.5,W,0,0,wk1,10,Chemical,07/07/2016
0.5,N,0,7,wk1,11,Predator,07/07/2016
0.5,E,0,8,wk1,11,Predator,07/07/2016
0.5,S,1,7,wk1,11,Predator,07/07/2016
0.5,W,0,3,wk1,11,Predator,07/07/2016
0.5,N,0,0,wk1,12,Control,07/07/2016
0.5,E,0,0,wk1,12,Control,07/07/2016
0.5,S,1,0,wk1,12,Control,07/07/2016
0.5,W,1,0,wk1,12,Control,07/07/2016
0.5,N,1,0,wk1,13,Control,07/07/2016
0.5,E,0,5,wk1,13,Control,07/07/2016
0.5,S,0,2,wk1,13,Control,07/07/2016
0.5,W,0,3,wk1,13,Control,07/07/2016
0.5,N,1,1,wk1,14,Predator,07/07/2016
0.5,E,0,0,wk1,14,Predator,07/07/2016
0.5,S,0,0,wk1,14,Predator,07/07/2016
0.5,W,0,1,wk1,14,Predator,07/07/2016
0.5,N,0,0,wk1,15,Chemical,07/07/2016
0.5,E,1,1,wk1,15,Chemical,07/07/2016
