distance,direction,eggs,aphids,week,replicate,treatment,date
FOCAL,Center,0,1,wk1,1,Chemical,07/09/2016
FOCAL,Center,0,0,wk1,2,Control,07/09/2016
FOCAL,Center,0,1,wk1,3,Predator,07/09/2016
FOCAL,Center,0,0,wk1,4,Chemical,07/09/2016
FOCAL,Center,0,0,wk1,5,Predator,07/09/2016
FOCAL,Center,1,0,wk1,6,Control,07/09/2016
FOCAL,Center,0,0,wk1,7,Control,07/09/2016
FOCAL,Center,0,0,wk1,8,Chemical,07/09/2016
FOCAL,Center,0,0,wk1,9,Predator,07/09/2016
FOCAL,Center,0,3,wk1,10,Chemical,07/09/2016
FOCAL,Center,1,0,wk1,11,Predator,07/09/2016
FOCAL,Center,0,0,wk1,12,Control,07/09/2016
FOCAL,Center,0,1,wk1,13,Control,07/09/2016
FOCAL,Center,0,0,wk1,14,Predator,07/09/2016
FOCAL,Center,0,0,wk1,15,Chemical,07/09/2016
FOCAL,Center,0,0,wk1,16,Control,07/09/2016
FOCAL,Center,0,0,wk1,17,Chemical,07/09/2016
FOCAL,Center,0,0,wk1,18,Predator,07/09/2016
FOCAL,Center,1,6,wk1,19,Predator,07/09/2016
FOCAL,Center,0,1,wk1,20,Control,07/09/2016
FOCAL,Center,1,0,wk1,21,Chemical,07/09/2016
FOCAL,Center,0,5,wk2,1,Chemical,07/16/2016
FOCAL,Center,0,12,wk2,2,Control,07/16/2016
FOCAL,Center,0,2,wk2,3,Predator,07/16/2016
FOCAL,Center,0,4,wk2,4,Chemical,07/16/2016
FOCAL,Center,0,0,wk2,5,Predator,07/16/2016
FOCAL,Center,0,18,wk2,6,Control,07/16/2016
FOCAL,Center,0,15,wk2,7,Control,07/16/2016
FOCAL,Center,1,1,wk2,8,Chemical,07/16/2016
FOCAL,Center,0,10,wk2,9,Predator,07/16/2016
FOCAL,Center,0,4,wk2,10,Chemical,07/16/2016
FOCAL,Center,0,3,wk2,11,Predator,07/16/2016
FOCAL,Center,0,10,wk2,12,Control,07/16/2016
FOCAL,Center,0,9,wk2,13,Control,07/16/2016
FOCAL,Center,0,9,wk2,14,Predator,07/16/2016
FOCAL,Center,0,0,wk2,15,Chemical,07/16/2016
FOCAL,Center,0,1,wk2,16,Control,07/16/2016
FOCAL,Center,0,6,wk2,17,Chemical,07/16/2016
FOCAL,Center,0,2,wk2,18,Predator,07/16/2016
FOCAL,Center,0,0,wk2,19,Predator,07/16/2016
FOCAL,Center,0,2,wk2,20,Control,07/16/2016
FOCAL,Center,0,3,wk2,21,Chemical,07/16/2016
FOCAL,Center,1,0,wk3,1,Chemical,07/22/2016
FOCAL,Center,1,0,wk3,2,Control,07/22/2016
FOCAL,Center,0,2,wk3,3,Predator,07/22/2016
FOCAL,Center,0,0,wk3,4,Chemical,07/22/2016
FOCAL,Center,1,0,wk3,5,Predator,07/22/2016
FOCAL,Center,0,1,wk3,6,Control,07/22/2016
FOCAL,Center,0,1,wk3,7,Control,07/22/2016
FOCAL,Center,0,16,wk3,8,Chemical,07/22/2016
FOCAL,Center,0,0,wk3,9,Predator,07/22/2016
FOCAL,Center,0,1,wk3,10,Chemical,07/22/2016
FOCAL,Center,0,0,wk3,11,Predator,07/22/2016
FOCAL,Center,0,0,wk3,12,Control,07/22/2016
FOCAL,Center,0,0,wk3,13,Control,07/22/2016
FOCAL,Center,0,0,wk3,14,Predator,07/22/2016
FOCAL,Center,1,0,wk3,15,Chemical,07/22/2016
FOCAL,Center,0,0,wk3,16,Control,07/22/2016
FOCAL,Center,0,0,wk3,17,Chemical,07/22/2016
FOCAL,Center,0,1,wk3,18,Predator,07/22/2016
FOCAL,Center,0,0,wk3,19,Predator,07/22/2016
FOCAL,Center,0,0,wk3,20,Control,07/22/2016
FOCAL,Center,0,0,wk3,21,Chemical,07/22/2016
FOCAL,Center,0,0,wk4,1,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,2,Control,07/29/2016
FOCAL,Center,0,0,wk4,3,Predator,07/29/2016
FOCAL,Center,0,0,wk4,4,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,5,Predator,07/29/2016
FOCAL,Center,0,0,wk4,6,Control,07/29/2016
FOCAL,Center,0,0,wk4,7,Control,07/29/2016
FOCAL,Center,0,0,wk4,8,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,9,Predator,07/29/2016
FOCAL,Center,1,0,wk4,10,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,11,Predator,07/29/2016
FOCAL,Center,0,0,wk4,12,Control,07/29/2016
FOCAL,Center,0,0,wk4,13,Control,07/29/2016
FOCAL,Center,1,0,wk4,14,Predator,07/29/2016
FOCAL,Center,0,0,wk4,15,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,16,Control,07/29/2016
FOCAL,Center,0,0,wk4,17,Chemical,07/29/2016
FOCAL,Center,0,0,wk4,18,Predator,07/29/2016
FOCAL,Center,0,0,wk4,19,Predator,07/29/2016
FOCAL,Center,0,0,wk4,20,Control,07/29/2016
FOCAL,Center,1,0,wk4,21,Chemical,07/29/2016
FOCAL,Center,0,0,wk5,1,Chemical,08/05/2016
FOCAL,Center,0,0,wk5,2,Control,08/05/2016
FOCAL,Center,0,0,wk5,3,Predator,08/05/2016
FOCAL,Center,0,0,wk5,4,Chemical,08/05/2016
FOCAL,Center,0,0,wk5,5,Predator,08/05/2016
FOCAL,Center,0,0,wk5,6,Control,08/05/2016
FOCAL,Center,0,0,wk5,7,Control,08/05/2016
FOCAL,Center,0,0,wk5,8,Chemical,08/05/2016
FOCAL,Center,0,0,wk5,9,Predator,08/05/2016
FOCAL,Center,1,0,wk5,10,Chemical,08/05/2016
FOCAL,Center,0,2,wk5,11,Predator,08/05/2016
FOCAL,Center,0,0,wk5,12,Control,08/05/2016
FOCAL,Center,0,0,wk5,13,Control,08/05/2016
FOCAL,Center,0,0,wk5,14,Predator,08/05/2016
FOCAL,Center,0,0,wk5,15,Chemical,08/05/2016
FOCAL,Center,1,0,wk5,16,Control,08/05/2016
FOCAL,Center,0,0,wk5,17,Chemical,08/05/2016
FOCAL,Center,1,1,wk5,18,Predator,08/05/2016
FOCAL,Center,1,0,wk5,19,Predator,08/05/2016
FOCAL,Center,0,0,wk5,20,Control,08/05/2016
FOCAL,Center,0,0,wk5,21,Chemical,08/05/2016
