Block,Rep,week,Treatment,Date out,Date in,Adult Lady Beetles,LB larvae,nabids,Green LW,Brown LW,parasitoids,araneae,aphidae,tree hoppers,leaf hoppers,plant hoppes,frog hoppers,harvestmen,Polished,14-spot,Parenthesis,Pink,Orange-spot,Convergent,Harmonia,7-spot,totalLBs,lampyrids,Variegated,notes
2,1,1,CH,,7/9/16,2,0,0,0,0,14,0,89,,,,,0,0,0,0,0,0,0,0,2,2,0,0,
2,2,1,C ,,7/9/16,0,0,0,0,0,9,2,94,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
2,3,1,P,,7/9/16,0,0,0,1,0,5,1,93,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,4,1,CH,,7/9/16,0,0,0,0,0,12,3,121,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
6,5,1,P,,7/9/16,1,0,0,0,0,13,0,87,,,,,0,0,0,0,0,0,0,0,0,1,2,1,2 Lampyrids
6,6,1,C,,7/9/16,0,0,0,0,0,11,2,90,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,7,1,C,,7/9/16,1,0,0,1,0,18,0,102,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
4,8,1,CH,,7/9/16,0,0,0,0,0,20,0,94,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
4,9,1,P,,7/9/16,1,0,0,0,0,18,2,69,,,,,0,0,0,0,1,0,0,0,0,1,2,0,2 Lampyrids
3,10,1,CH,,7/9/16,0,0,0,0,0,13,3,137,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
3,11,1,P,,7/9/16,1,0,0,0,0,20,5,127,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
3,12,1,C,,7/9/16,0,0,0,0,0,20,0,143,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,13,1,C,,7/9/16,5,0,0,0,0,9,3,113,,,,,0,0,0,0,1,0,0,1,0,5,0,3,
5,14,1,P,,7/9/16,3,0,0,0,0,11,0,115,,,,,0,0,0,1,0,0,0,0,0,3,2,2,2 Lampyrids
5,15,1,CH,,7/9/16,0,0,0,0,0,6,2,88,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,16,1,C,,7/9/16,0,0,0,0,0,14,3,107,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
5,17,1,CH,,7/9/16,0,0,0,0,0,23,2,105,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
5,18,1,P,,7/9/16,0,0,0,1,0,15,4,74,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,19,1,P,,7/9/16,1,0,0,0,0,27,2,83,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
6,20,1,C,,7/9/16,0,0,0,1,0,29,2,85,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,21,1,CH,,7/9/16,2,0,0,0,0,12,3,97,,,,,0,0,0,0,1,0,0,0,1,2,0,0,
4,1,2,CH,,7/16/16,0,0,0,0,0,15,0,12,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,2,2,C,,7/16/16,0,0,0,0,0,17,1,20,,,,,0,0,0,0,0,0,0,0,0,0,3,0,3 lampyrids
4,3,2,P,,7/16/16,2,0,0,0,0,17,1,39,,,,,0,0,0,0,0,0,0,0,0,2,2,2,2 Lampyrids
1,4,2,CH,,7/16/16,1,0,0,0,0,16,2,35,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
1,5,2,P,,7/16/16,0,0,0,0,0,14,2,24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,6,2,C,,7/16/16,0,0,0,0,0,13,3,32,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
1,7,2,C,,7/16/16,0,0,0,0,0,20,5,36,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,8,2,CH,,7/16/16,1,0,0,0,0,18,2,43,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
1,9,2,P,,7/16/16,0,0,0,0,0,19,2,38,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,10,2,CH,,7/16/16,0,0,0,0,0,24,3,55,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,P,,7/16/16,0,0,0,0,0,29,2,64,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,12,2,C,,7/16/16,0,0,0,0,0,19,4,66,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,13,2,C,,7/16/16,1,0,0,1,0,22,3,60,,,,,0,0,0,0,0,0,0,1,0,1,3,0,3 lampyrids
4,14,2,P,,7/16/16,0,0,0,0,0,27,4,84,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
4,15,2,CH,,7/16/16,1,0,0,0,0,12,1,45,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1 Lampyrid
2,16,2,C,,7/16/16,0,0,0,0,0,29,3,71,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
2,17,2,CH,,7/16/16,0,0,0,0,0,23,3,102,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
2,18,2,P,,7/16/16,0,0,0,0,0,14,1,104,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,19,2,P,,7/16/16,0,0,0,0,0,27,2,150,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,20,2,C,,7/16/16,0,0,0,0,0,28,3,179,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,21,2,CH,,7/16/16,1,0,0,0,0,16,0,106,,,,,0,0,0,0,0,0,0,0,1,1,0,0,
6,1,3,CH,,7/22/16,0,0,0,0,0,20,4,94,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,2,3,C,,7/22/16,2,0,0,0,0,21,4,77,,,,,0,0,1,0,0,0,0,0,0,2,0,1,
